,artist,title,url,gender,division,medium,colors,dated,century,culture,description
3269,"Unidentified Artist, John Frederick Kensett",Stormy Landscape with Cattle,https://www.harvardartmuseums.org/collections/object/231448,"unknown, male",European and American Art,Oil on canvas,"Brown, Brown, Brown, Brown, Brown, Yellow, Orange, Yellow",1871,19th century,American,
3270,William Louis Sonntag,On the Shenandoah,https://www.harvardartmuseums.org/collections/object/231449,male,European and American Art,Oil on canvas,"Brown, Green, Brown, Yellow, Green, Green, Grey, Blue, Green, Black",c. 1855-1860,19th century,American,
3271,"Altobello Melone, Jacopo Palma (called il Vecchio)",Portrait of a Young Man,https://www.harvardartmuseums.org/collections/object/231538,"unknown, unknown",European and American Art,Oil on panel,"Brown, Black, Brown, Grey",c. 1527-1528,16th century,Italian,
3272,"Charles Herbert Moore, Jacopo Tintoretto","Reduced Study of a Portion of the Lower Part of Titian's Picture of ""The Assumption of the Virgin,"" in the Academy of Venice",https://www.harvardartmuseums.org/collections/object/231574,"male, male",European and American Art,Oil on canvas,"Grey, Brown, Yellow, Brown, Grey, Brown, Brown",1876,19th century,American,"Copy after a detail of a painting in S. Maria dei Frari, Venice."
3273,"Unidentified Artist, Richard Wilson, Unidentified Artist",Portrait of a Man,https://www.harvardartmuseums.org/collections/object/231594,"unknown, unknown, unknown",European and American Art,Oil on canvas,"Grey, Black, Grey, White",19th century,19th century,British,
3274,Merton Clivette,Seascape with Rocks,https://www.harvardartmuseums.org/collections/object/231632,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey",19th-20th century,19th-20th century,American,
3275,Michelangelo Merisi da Caravaggio,The Card Players,https://www.harvardartmuseums.org/collections/object/231633,unknown,European and American Art,Oil on canvas,"Grey, Brown, Green, Green, Grey, Orange, Brown, Yellow, Green, Green",17th century,17th century,French,
3276,"Antonio del Massaro da Viterbo, called Pastura",The Virgin and Child,https://www.harvardartmuseums.org/collections/object/231659,unknown,European and American Art,Tempera on panel,"Black, Brown, Brown, Brown, Brown, Brown, Yellow, Black, Violet",c. 1490,15th century,Italian,
3277,"Desideri, Pisanello (Antonio Pisano), Pisanello (Antonio Pisano)",Profile of a Girl,https://www.harvardartmuseums.org/collections/object/231667,"unknown, unknown, unknown",Modern and Contemporary Art,Tempera on panel,"Black, Black, Brown, Brown, Brown",c. 1906,20th century,Italian,
3278,"Thomas Addison Richards, T. L. Birch",Under the Birches,https://www.harvardartmuseums.org/collections/object/231688,"unknown, unknown",European and American Art,Oil on canvas,"Brown, Brown, Yellow, Brown, Grey, Grey, Grey, Grey",c. 1875,19th century,American,
3279,Spinello Aretino,Unidentified Male Saint,https://www.harvardartmuseums.org/collections/object/231697,unknown,European and American Art,Tempera on panel,,1385,14th century,Italian,
3280,"Niccolò di Pietro, Jacobello del Fiore",Virgin and Child Enthroned with Eight Angels,https://www.harvardartmuseums.org/collections/object/231700,"unknown, unknown",European and American Art,Tempera on shaped panel,"Yellow, Brown, Brown, Grey, Grey, Grey, Brown, Grey, Green, Yellow",c. 1410,15th century,"Italian, Venetian",
3282,Samuel Colman,Storm King on the Hudson,https://www.harvardartmuseums.org/collections/object/231710,male,European and American Art,Oil on canvas,"Red, Green, Brown, Yellow, Brown, Green, Brown, Black, Green, Green",c. 1866-1870,19th century,American,
3283,"Nicolò Rondinelli, Giovanni Bellini",Virgin and Child,https://www.harvardartmuseums.org/collections/object/231724,"unknown, unknown",European and American Art,Oil on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",1495-1500,15th-16th century,Italian,
3284,"Unidentified Artist, Simon Vouet, Charles Le Brun",The Sacrifice of the Daughters of Jephtha,https://www.harvardartmuseums.org/collections/object/231732,"unknown, male, male",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey, Grey",17th century,17th century,French,
3286,Master of Pratovecchio (Giovanni di Francesco?),The Virgin and Child,https://www.harvardartmuseums.org/collections/object/231746,unknown,European and American Art,Tempera on panel,"Brown, Yellow, Brown, Green, Yellow, Yellow, Brown, Green, Red, Green",c. 1450-1475,15th century,Italian,
3287,Barbara Cushing,Ashokan Camp - View of Farm I,https://www.harvardartmuseums.org/collections/object/231779,female,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Green, Green, Green, Green, Green, Green, Brown, Green",1976,20th century,American,
3288,Barbara Cushing,Ashokan Camp - View of Farm II,https://www.harvardartmuseums.org/collections/object/231780,female,Modern and Contemporary Art,Oil on canvas,"Grey, Green, Green, Grey, Green, Green, Green, Green, Green, Yellow",1976,20th century,American,
3289,Barbara Cushing,Ashokan Camp - The Pastures,https://www.harvardartmuseums.org/collections/object/231781,female,Modern and Contemporary Art,Oil on canvas,,1976,20th century,American,
3290,"Carl Peter Teigen, Titian (Tiziano Vecellio)","Virgin and Child, from the Pesaro Madonna, after Titian",https://www.harvardartmuseums.org/collections/object/231791,"unknown, male",Modern and Contemporary Art,Oil on canvas,"Black, Brown, Brown, Brown, Brown, Blue, Grey, Grey, Grey, Green",1925,20th century,American,
3291,"Master of Le Palazze, Unidentified Artist","A Shepherd from a Nativity, fragment of a fresco removed from Santa Maria inter Angelos, Spoleto",https://www.harvardartmuseums.org/collections/object/231836,"unknown, unknown",European and American Art,Detached fresco mounted on canvas,"Black, Blue, Black, Yellow, Brown, Brown, Brown, Orange, Red, Brown",c. 1300,14th century,"Italian, Umbrian",
3292,Joseph Mallord William Turner,Rembrandt's Daughter,https://www.harvardartmuseums.org/collections/object/231931,male,European and American Art,Oil on canvas,"Grey, Black, Orange, Yellow, Brown, Yellow, Yellow, Brown, Yellow, Green",1827,19th century,British,
3293,Adrien Joseph Verhoeven Ball,My Lord's Toilet,https://www.harvardartmuseums.org/collections/object/231934,male,European and American Art,Oil on panel,,1871,19th century,Belgian,
