,artist,title,url,gender,division,medium,colors,dated,century,culture,description
555,James Naumburg Rosenberg,Wall Street,https://www.harvardartmuseums.org/collections/object/228778,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White",1945-1947,20th century,American,
557,"Evelyn Seltzer Ehrlich, Antonio Aquilio, called Antoniazzo Romano","Madonna and Child with St. John, after Antoniazzo Romano",https://www.harvardartmuseums.org/collections/object/228828,"unknown, unknown",Modern and Contemporary Art,Tempera on panel,"Black, Brown, Brown, Black, Brown, Yellow, Yellow, Yellow",20th century,20th century,American,
558,Anthony van Dyck,Portrait of a Lady with Castle and Trees in Background,https://www.harvardartmuseums.org/collections/object/228839,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, White",17th century,17th century,Flemish,
561,Jankel Adler,Vertical Figure,https://www.harvardartmuseums.org/collections/object/228871,male,Modern and Contemporary Art,Oil on canvas,"Brown, Green, Blue, Green, Blue, Grey, Grey, Grey, Grey, Green",1948,20th century,Polish,
562,Dieric Bouts,The Virgin and Child,https://www.harvardartmuseums.org/collections/object/228872,unknown,European and American Art,Oil on panel,"Grey, Orange, Grey, Brown, Red, Brown, Brown, Red, Orange",c. 1475,15th century,Netherlandish,
567,"The Borden Limner, John S. Blunt, Unidentified Artist",Sarah Phillips Church,https://www.harvardartmuseums.org/collections/object/228953,"unknown, unknown, unknown",European and American Art,Oil on canvas,"Grey, Grey, Blue, Brown, Brown, Green, Yellow, Brown, Orange, Grey",c. 1828-1835,19th century,American,
568,Gustave Courbet,Portrait of a Boy,https://www.harvardartmuseums.org/collections/object/228991,male,European and American Art,Oil on paper laid down on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White",c. 1840-1849,19th century,French,
569,Inna Garsoian,"View of Mt. Desert, Maine",https://www.harvardartmuseums.org/collections/object/228997,unknown,Modern and Contemporary Art,Oil on canvas,"Brown, Brown, Brown, Green, Grey, Grey, Yellow, Brown, Red",1945,20th century,American,
570,Denman Waldo Ross,Full-Length Portrait of a Seated Young Man,https://www.harvardartmuseums.org/collections/object/229003,male,European and American Art,Oil on canvasboard,"Brown, Brown, Brown, Violet, Grey, Blue, Brown",1901,20th century,American,
571,Denman Waldo Ross,Walter Nelson,https://www.harvardartmuseums.org/collections/object/229004,male,European and American Art,Oil on canvas,"Red, Red, Brown, Orange, Brown, Brown, Grey",1932,20th century,American,
572,William Baziotes,Bird of Paradise,https://www.harvardartmuseums.org/collections/object/229019,unknown,Modern and Contemporary Art,Oil on canvas,"Blue, Green, Blue, Blue, Blue, Blue, Blue, Blue, Green, Grey",1947,20th century,American,
573,Henri Matisse,Still Life with Apples,https://www.harvardartmuseums.org/collections/object/229044,male,Modern and Contemporary Art,Oil on panel,"Grey, Green, Grey, Green, Green, Grey, Green, Green, Yellow, Green",1916,20th century,French,
574,Pablo Ruiz Picasso,Young Girl Wearing a Large Hat,https://www.harvardartmuseums.org/collections/object/229047,male,Modern and Contemporary Art,Oil on canvas,"Blue, Brown, Brown, Yellow, Green, Red, Green, Brown, Blue, Red",1901,20th century,Spanish,Recto of a two-sided canvas (verso: 1951.55.1)
575,Georges Pierre Seurat,"Seated Figures, Study for ""A Sunday Afternoon on the Island of La Grande Jatte""",https://www.harvardartmuseums.org/collections/object/229049,male,European and American Art,Oil on panel,"Green, Green, Green, Green, Blue, Brown, Grey, Brown, Grey, Brown",1884-1885,19th century,French,
576,Albert Bierstadt,The Trout Brook,https://www.harvardartmuseums.org/collections/object/229058,male,European and American Art,Oil on academy board,"Brown, Blue, Brown, Blue, Black, Orange, Brown, Brown, Yellow, Yellow",1859,19th century,American,
577,Camille Pissarro,Mardi Gras on the Boulevards,https://www.harvardartmuseums.org/collections/object/229059,male,European and American Art,Oil on canvas,"Green, Brown, Green, Grey, Green, Grey, Green, Orange, Blue",1897,19th century,Danish,
578,Master of the Life of Saint Agnes,Saint Sebastian and Saint Christopher,https://www.harvardartmuseums.org/collections/object/229080,unknown,European and American Art,Oil and tempera on panel,"Brown, Yellow, Yellow, Grey, Orange, Blue, Brown, Blue, Red, Brown",16th century,16th century,"Italian, Lombard, Pavese",
579,Cecilia Beaux,Study for the Portrait of Andrew F. West,https://www.harvardartmuseums.org/collections/object/229107,female,European and American Art,Oil on canvas board,"Brown, Brown, Brown, Brown, Brown, Yellow, Brown, Orange",1916,20th century,American,The finished portrait is owned by Princeton University.
580,Denman Waldo Ross,Portrait of a Young Man with a Green Tie,https://www.harvardartmuseums.org/collections/object/229114,male,European and American Art,Oil on canvasboard,"Grey, Red, Red, Brown, Brown, Grey, Orange, Grey, Green, Brown",19th-20th century,19th-20th century,American,
581,"Unidentified Artist, Giovanni Battista Piazzetta",Sleeping Christ Child,https://www.harvardartmuseums.org/collections/object/229121,"unknown, male",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White",17th-18th century,17th-18th century,"Italian, Venetian",
584,"Unidentified Artist, Antonio Pollaiuolo",Portrait of a Woman,https://www.harvardartmuseums.org/collections/object/229166,"unknown, male",Modern and Contemporary Art,Oil on panel,"Black, Brown, Black, Brown, Green",20th century,20th century,Italian?,
585,Denman Waldo Ross,Portrait of a Young Man,https://www.harvardartmuseums.org/collections/object/229182,male,European and American Art,Oil on canvasboard,"Violet, Brown, Orange, Grey, Brown, Grey, Orange, Grey, Red, Red",19th-20th century,19th-20th century,American,
586,Denman Waldo Ross,Portrait of a Young Man,https://www.harvardartmuseums.org/collections/object/229184,male,European and American Art,Oil on canvasboard,"Red, Orange, Brown, Red, Red, Brown, Red, Violet, Brown, Grey",19th-20th century,19th-20th century,American,
587,Denman Waldo Ross,Sailboat,https://www.harvardartmuseums.org/collections/object/229185,male,European and American Art,Oil on canvasboard,"Red, Violet, Brown, Violet, Violet, Violet",19th-20th century,19th-20th century,American,
588,Denman Waldo Ross,Portrait of a Young Man with Open Collar,https://www.harvardartmuseums.org/collections/object/229188,male,European and American Art,Oil on canvas,"Green, Green, Red, Grey, Brown, Green, Grey, Brown, Grey, Brown",19th-20th century,19th-20th century,American,
589,"Edward Waldo Forbes, Charles Fairfax Murray, Paris Bordone","Portrait of a Man, after Paris Bordone",https://www.harvardartmuseums.org/collections/object/229195,"unknown, unknown, unknown",Modern and Contemporary Art,Oil on canvas,"Black, Black, Brown, Brown, Brown, Brown, Green, Brown",1904,20th century,American,
590,Denman Waldo Ross,Portrait of a Young Man in a White Shirt,https://www.harvardartmuseums.org/collections/object/229240,male,European and American Art,Oil on canvasboard,"Blue, Orange, Red, Blue, Grey, Violet, Violet, Orange, Brown, Blue",19th-20th century,19th-20th century,American,
592,Edwin Henry Landseer,The Falcon,https://www.harvardartmuseums.org/collections/object/229347,male,European and American Art,Oil on cradled panel,"Yellow, Orange, Brown, Brown, Red, Yellow",c. 1834,19th century,British,
593,"Unidentified Artist, Ferdinand-Victor-Eugène Delacroix, Peter Paul Rubens",Athena and Apollo (after Rubens),https://www.harvardartmuseums.org/collections/object/229348,"unknown, male, male",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",19th century,19th century,Flemish,
594,Cecilia Beaux,Study for the Portrait of Lane Lovell and his Dog,https://www.harvardartmuseums.org/collections/object/229358,female,European and American Art,Oil on canvasboard,"Brown, Brown, Brown, Green, Yellow, Yellow, Green, Green, Brown",1913-1914,20th century,American,The finished oil is in a private collection.
595,Cecilia Beaux,Study for Victory Bearing Away the Infant Future,https://www.harvardartmuseums.org/collections/object/229506,female,European and American Art,Oil on canvasboard,"Brown, Yellow, Brown, Green, Brown, Green, Orange, Brown, Brown, Brown",1921,20th century,American,"The finished work is a poster, given to the American Legion at Gloucester, per 1955 Pennsylvania Academy catalogue."
596,Denman Waldo Ross,Portrait Head of a Young Man,https://www.harvardartmuseums.org/collections/object/229530,male,European and American Art,Oil on canvasboard,"Red, Red, Red, Red, Red, Violet, Grey, Grey, Grey",19th-20th century,19th-20th century,American,
597,Denman Waldo Ross,Portrait of a Young Man in Shirt and Tie,https://www.harvardartmuseums.org/collections/object/229532,male,European and American Art,"Oil on canvas, tacked to a wood panel","Green, Grey, Grey, Grey, Grey, Grey, Brown, Brown, Brown, Grey",19th-20th century,19th-20th century,American,
598,Eugène Carrière,Bust of a Young Girl,https://www.harvardartmuseums.org/collections/object/229553,male,European and American Art,Oil on canvas mounted on wood,"Brown, Brown, Orange, Yellow, Grey, Grey, Grey, Yellow, Grey",c. 1903,19th-20th century,French,
599,"Jean Baptiste Isabey, Pauline Bonaparte","Pauline Bonaparte, Princess Borghese",https://www.harvardartmuseums.org/collections/object/229653,"male, unknown",European and American Art,Watercolor on ivory,"Yellow, Grey, Grey, Grey, Brown, Grey, Grey, Grey, Violet",1812-1814,19th century,French,
600,Girolamo da Treviso the Younger,Portrait of a Man,https://www.harvardartmuseums.org/collections/object/227976,unknown,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Black, Grey, White",16th century,16th century,Italian,
601,Benjamin Cuyp,Nativity,https://www.harvardartmuseums.org/collections/object/227984,unknown,European and American Art,Oil on panel,"Orange, Brown, Brown, Orange, Yellow, Green, Yellow, Grey, Red, Grey",c. 1640,17th century,Dutch,
602,Georges Braque,Beach at Varengeville,https://www.harvardartmuseums.org/collections/object/227992,male,Modern and Contemporary Art,Oil on canvas,"Black, Green, Black, Brown, Orange, Green, Yellow, Red, White, Blue",1932,20th century,French,
603,Dosso Dossi,A Condottiere,https://www.harvardartmuseums.org/collections/object/227997,unknown,European and American Art,Oil on canvas,"Brown, Black, Red, Yellow, Brown, Brown, Red, Brown, Brown, Yellow",c. 1520,16th century,Italian,
604,Alexander Archipenko,Woman in an Interior,https://www.harvardartmuseums.org/collections/object/228002,male,Modern and Contemporary Art,Oil on canvas mounted on cardboard.,"Blue, Grey, Green, Brown, Orange, Green, Green, Yellow, Orange, Orange",1917,20th century,American,
605,Taddeo di Bartolo,The Virgin and Child with Angels,https://www.harvardartmuseums.org/collections/object/228017,unknown,European and American Art,Tempera and gold on panel,"Brown, Orange, Grey, Brown, Black, Red, Red, Orange, Orange, Brown",1418,15th century,"Italian, Tuscan, Sienese",
606,"Gustave Courbet, Gustave Courbet, Gustave Courbet",A Stone Cutter,https://www.harvardartmuseums.org/collections/object/228026,"male, male, male",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",c. 1875-1876,19th century,French,
607,Louis Michel Eilshemius,The White Horse,https://www.harvardartmuseums.org/collections/object/228027,male,Modern and Contemporary Art,Oil on masonite,"Grey, Grey, Grey, Black, Grey, Grey, White",c. 1915,20th century,American,
608,Adolphe Monticelli,A Garden Party,https://www.harvardartmuseums.org/collections/object/228031,unknown,European and American Art,Oil on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey",c. 1860-c. 1886,19th century,French,
609,Frank Tenney Johnson,Noon Day Rest,https://www.harvardartmuseums.org/collections/object/228032,male,Modern and Contemporary Art,Oil on canvas,"Brown, Brown, Black, Blue, Green, Blue, Brown",1936,20th century,American,
611,Claude Monet,"Gorge of the Petit Ailly, Varengeville",https://www.harvardartmuseums.org/collections/object/228061,male,European and American Art,Oil on canvas,"Green, Grey, Green, Blue, Grey, Blue, Blue",1897,19th century,French,
612,Kenneth Noland,Karma,https://www.harvardartmuseums.org/collections/object/228066,male,Modern and Contemporary Art,Acrylic paint on canvas,"Green, Blue, Violet, Blue, Violet, Green, Grey, Violet, Blue, Grey",1964,20th century,American,
613,James Chan Leong,Untitled,https://www.harvardartmuseums.org/collections/object/228096,unknown,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, White, Black, Grey, Grey, Grey",1962,20th century,American,
614,Mark Rothko,"Untitled (Blue, Green)",https://www.harvardartmuseums.org/collections/object/228107,male,Modern and Contemporary Art,Oil on paper mounted on linen,"Green, Violet, Blue, Blue, Grey, Blue, Grey, Grey, Blue, Grey",1969,20th century,American,
615,William Stanley Haseltine,Tortoise Resting on a Log,https://www.harvardartmuseums.org/collections/object/228121,male,European and American Art,Oil on wooden door panel,"Green, Brown, Yellow, Brown, Yellow, Green, Green, Green, Red, Grey",1853,19th century,American,
616,Mary Cassatt,Woman on a Striped Sofa with a Dog,https://www.harvardartmuseums.org/collections/object/228130,female,European and American Art,Oil on wood panel,"Red, Green, Blue, Green, Green, Brown, Blue, Blue, Brown, Grey",1876,19th century,American,
617,"Jean-Honoré Fragonard, Marguerite Gérard",The Beloved Child,https://www.harvardartmuseums.org/collections/object/228132,"male, female",European and American Art,Oil on canvas,"Grey, Grey, Green, Grey, Grey, Green, Green",c. 1780-1785,18th century,French,
618,"Girolamo Figino, Master of the Solomon Altarpiece, Gaudenzio Ferrari",The Virgin and Child with Saints Peter and Paul,https://www.harvardartmuseums.org/collections/object/228140,"unknown, unknown, unknown",European and American Art,Oil on panel,"Grey, Grey, Grey, Blue, Yellow, Blue, Grey, Brown, Orange, Green",16th century,16th century,"Italian, Lombard, Milanese",
619,"Unidentified Artist, Henri-Edmond Cross, Henri-Edmond Cross",Landscape,https://www.harvardartmuseums.org/collections/object/228146,"unknown, male, male",European and American Art,Oil on canvas,"White, Grey, Grey, Grey, Grey, Grey, Black, Grey, Grey",c. 1880-c. 1910,19th-20th century,French,
620,Paul Gauguin,Still Life with Peaches,https://www.harvardartmuseums.org/collections/object/228185,male,European and American Art,Oil on cradled panel,"Orange, Grey, Grey, Grey, Orange, Brown, Blue, Grey, Green, Green",c. 1889,19th century,French,
621,Moses Soyer,Tap Dance Studio,https://www.harvardartmuseums.org/collections/object/228190,male,Modern and Contemporary Art,Oil on canvas,,c. 1930,20th century,American,
622,Marsden Hartley,Landscape,https://www.harvardartmuseums.org/collections/object/228204,male,Modern and Contemporary Art,Oil on cardboard,"Red, Brown, Red, Red, Red, Red, Orange, Brown, Yellow, Violet",c. 1910,19th-20th century,American,
623,Bernardino Fungai,Virgin and Child,https://www.harvardartmuseums.org/collections/object/228238,unknown,European and American Art,Tempera on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, Grey, White",c. 1490,15th-16th century,"Italian, Tuscan, Sienese",
624,Antonio Saura,Katy,https://www.harvardartmuseums.org/collections/object/228243,unknown,Modern and Contemporary Art,Oil on canvas,"Grey, Black, Grey, Grey, White, Grey, Grey, Grey",1959,20th century,Spanish,
625,Bernard Buffet,Christ on the Cross,https://www.harvardartmuseums.org/collections/object/228244,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey",c. 1948,20th century,French,
626,"Unidentified Artist, Jacopo Palma (called il Vecchio)",Bust of a Young Woman,https://www.harvardartmuseums.org/collections/object/228257,"unknown, unknown",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White",16th century,16th century,"Italian, Venetian",
627,George Romney,Hugh Scott of Arden,https://www.harvardartmuseums.org/collections/object/228273,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White",c. 1788,18th-19th century,British,
628,"Giovanni Battista Benvenuti, called Ortolano, Lorenzo di Ottavio Costa",Allegorical Figure of a Woman Holding A Circle,https://www.harvardartmuseums.org/collections/object/228275,"unknown, male",European and American Art,Oil on panel,"Grey, White, Black, Grey, Grey, Grey, Grey",15th-16th century,15th-16th century,"Italian, Emilian, Ferrarese",
629,Guariento di Arpo,Armed Angel (Principatus),https://www.harvardartmuseums.org/collections/object/228280,unknown,European and American Art,Tempera on panel,"Grey, Brown, Yellow, Orange, Brown, Red",14th century,14th century,Italian,
631,Sir Joshua Reynolds,Miss Elizabeth Beauclerc as Una with the Lion,https://www.harvardartmuseums.org/collections/object/228288,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey",1777,18th century,British,
632,"Master of the Campana Panels, Master of Tavernelle",The Nativity with the Infant Saint John the Baptist,https://www.harvardartmuseums.org/collections/object/228314,"unknown, unknown",European and American Art,Oil on panel,"Brown, Brown, Brown, Green, Green, Green, Green, Green, Blue, Green",early 16th century,16th century,"Italian, Tuscan, Florentine",
635,Jacob van Ruisdael,Wooded Landscape with an Old Oak,https://www.harvardartmuseums.org/collections/object/228325,male,European and American Art,Oil on cradled panel,"Brown, Grey, Grey, Green, Grey, Green, Green, Yellow, Green, Orange",c. 1650-1653,17th century,Dutch,
636,Pseudo Pier Francesco Fiorentino,Virgin and Child,https://www.harvardartmuseums.org/collections/object/228333,unknown,European and American Art,Tempera on panel,"Green, Grey, Yellow, Grey, Brown, Brown, Brown, Brown, Yellow, Yellow",15th century,15th century,"Italian, Tuscan, Florentine",
637,Giuseppe Romagnoni,The Cardinal,https://www.harvardartmuseums.org/collections/object/228339,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Green, White, Black",1957,20th century,Italian,
638,Pierre-Auguste Renoir,Landscape near Menton,https://www.harvardartmuseums.org/collections/object/228348,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",19th-20th century,19th-20th century,French,
640,Joan Miró,"Mural, March 20, 1961",https://www.harvardartmuseums.org/collections/object/228381,male,Modern and Contemporary Art,Oil on canvas,"Yellow, Yellow, Grey, Green, Brown, Red, Brown, Red, Red, Green",1961,20th century,Spanish,
641,"Joos van Cleve, Quentin Metsys",Saint Jerome in His Study,https://www.harvardartmuseums.org/collections/object/228385,"unknown, unknown",European and American Art,Oil on panel,"Grey, Brown, Brown, Yellow, Brown, Orange, Brown, Green, Grey, Red",1521,16th century,Netherlandish,
642,Andrea Vanni,Saint Mark,https://www.harvardartmuseums.org/collections/object/228437,unknown,European and American Art,Tempera on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White",second half 14th century,14th century,Italian,
643,Maurice Utrillo,Street Scene,https://www.harvardartmuseums.org/collections/object/228440,male,Modern and Contemporary Art,Oil on canvas,"Brown, Brown, Yellow, Brown, Black, Grey, Yellow, Yellow",20th century,20th century,French,
644,"Apollonio de Giovanni di Tommaso, Marco del Buono",The Virgin and Child with Angels,https://www.harvardartmuseums.org/collections/object/228467,"unknown, unknown",European and American Art,Tempera on panel,"Grey, Grey, Grey, Grey, Grey, Black, Grey, Grey, Black",c. 1450,15th century,Italian,
645,Pierre Bonnard,Nature morte a la lumiere du soir,https://www.harvardartmuseums.org/collections/object/228491,male,Modern and Contemporary Art,Oil on canvas,,1927,20th century,French,
646,Zanobi Strozzi,Madonna and Child,https://www.harvardartmuseums.org/collections/object/228498,unknown,European and American Art,Tempera on panel,"Yellow, Green, Brown, Green, Orange, Yellow, Yellow, Grey, Grey, Red",15th century,15th century,Italian,
647,"Bartolommeo Neroni, called il Riccio","Virgin and Child with the Infant Saint John the Baptist, Saint Jerome, and an Unidentified Male Saint",https://www.harvardartmuseums.org/collections/object/228499,unknown,European and American Art,Oil on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",16th century,16th century,"Italian, Tuscan, Sienese",
648,Horia Damian,Composition,https://www.harvardartmuseums.org/collections/object/228500,unknown,Modern and Contemporary Art,Oil on canvas,"Orange, Red, Red, Red, Red, Violet, Red, Yellow, Red",1957,20th century,French,
649,Alberto Burri,S C 5,https://www.harvardartmuseums.org/collections/object/228501,male,Modern and Contemporary Art,Painted cloth collage on soft board,"Grey, Grey, Grey, Blue, Brown, Orange, Yellow, Yellow, Red",1954,20th century,Italian,
650,Claude Monet,"La Porte d'Amont, Étretat",https://www.harvardartmuseums.org/collections/object/228507,male,European and American Art,Oil on canvas,"Brown, Brown, Brown, Brown, Brown, Brown, Yellow, Orange, Orange, Yellow",c. 1868-1869,19th century,French,
651,Pieter Snayers,Battle Scene with Town in Background,https://www.harvardartmuseums.org/collections/object/228527,unknown,European and American Art,Oil on panel,"Grey, Grey, Black, White, Grey, Grey",17th century,17th century,Flemish,
652,Edouard Vuillard,Landscape at Criquebeuf,https://www.harvardartmuseums.org/collections/object/228531,male,Modern and Contemporary Art,Gouache on paper on a wooden strainer,,c. 1904-c. 1906,20th century,French,
653,"Sarah Goodridge, Edward Greene Malbone",Elizabeth Greenleaf Parsons (1758-1829),https://www.harvardartmuseums.org/collections/object/228537,"female, unknown",European and American Art,Watercolor on ivory,"Grey, Grey, Grey, Grey, Grey, Yellow, Green, Orange, Green, Red",1820,19th century,American,
654,"Master of the Orcagnesque Misericordia, Agnolo Gaddi, Niccolò di Pietro Gerini",The Marriage of the Virgin,https://www.harvardartmuseums.org/collections/object/228548,"unknown, unknown, unknown",European and American Art,Tempera and gold on panel,"Brown, Grey, Yellow, Yellow, Orange, Brown, Brown, Red, Grey, Yellow",c. 1370-1375,14th century,Italian,
655,"Unidentified Artist, Giuseppe Bernardino Bison",Landscape with Figures and a Herd of Sheep,https://www.harvardartmuseums.org/collections/object/228549,"unknown, male",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",18th century,18th century,Italian,
656,Horia Damian,Abstraction,https://www.harvardartmuseums.org/collections/object/228551,unknown,Modern and Contemporary Art,Mixed media on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, Grey, White",1959,20th century,French,
657,Rembrandt Harmensz. van Rijn,"Portrait of an Old Man (Adriaen van Rijn, Rembrandt's brother)",https://www.harvardartmuseums.org/collections/object/228612,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White",17th century,17th century,Dutch,
658,"Girolamo Romanino, Altobello Melone",Saint Catherine of Alexandria,https://www.harvardartmuseums.org/collections/object/228627,"male, unknown",European and American Art,Oil on panel,"Black, Brown, Brown, Brown, Black, Yellow, Brown, Brown",early 16th century,16th century,Italian,
659,Peter Blume,Passage to Etna,https://www.harvardartmuseums.org/collections/object/228647,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Yellow, Brown, Green, Orange, Orange, Yellow",1956,20th century,American,
660,Claude Monet,The Gare Saint-Lazare: Arrival of a Train,https://www.harvardartmuseums.org/collections/object/228649,male,European and American Art,Oil on canvas,"Blue, Blue, Blue, Green, Blue, Blue, Grey, Blue",1877,19th century,French,
661,Pierre-Auguste Renoir,Seated Bather,https://www.harvardartmuseums.org/collections/object/228651,male,European and American Art,Oil on canvas,"Grey, Grey, Yellow, Green, Brown, Green, Grey, Green, Blue, Blue",c. 1883-1884,19th century,French,
662,Hilaire-Germain-Edgar Degas,Singer with a Glove,https://www.harvardartmuseums.org/collections/object/228652,male,European and American Art,Pastel on canvas,"Green, Grey, Yellow, Green, Grey, Green, Orange, Brown, Green",c. 1878,19th century,French,
665,John La Farge,"Autumn: Mid-Day, Looking North, Table-Rock Hill, Peekskill, New York",https://www.harvardartmuseums.org/collections/object/228774,male,European and American Art,Oil on canvas,"Brown, Green, Green, Orange, Green, Yellow, Yellow, Brown, Black",c. 1870,19th century,American,
666,James Naumburg Rosenberg,Wall Street,https://www.harvardartmuseums.org/collections/object/228778,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White",1945-1947,20th century,American,
668,"Evelyn Seltzer Ehrlich, Antonio Aquilio, called Antoniazzo Romano","Madonna and Child with St. John, after Antoniazzo Romano",https://www.harvardartmuseums.org/collections/object/228828,"unknown, unknown",Modern and Contemporary Art,Tempera on panel,"Black, Brown, Brown, Black, Brown, Yellow, Yellow, Yellow",20th century,20th century,American,
669,Anthony van Dyck,Portrait of a Lady with Castle and Trees in Background,https://www.harvardartmuseums.org/collections/object/228839,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, White",17th century,17th century,Flemish,
672,Jankel Adler,Vertical Figure,https://www.harvardartmuseums.org/collections/object/228871,male,Modern and Contemporary Art,Oil on canvas,"Brown, Green, Blue, Green, Blue, Grey, Grey, Grey, Grey, Green",1948,20th century,Polish,
673,Dieric Bouts,The Virgin and Child,https://www.harvardartmuseums.org/collections/object/228872,unknown,European and American Art,Oil on panel,"Grey, Orange, Grey, Brown, Red, Brown, Brown, Red, Orange",c. 1475,15th century,Netherlandish,
678,"The Borden Limner, John S. Blunt, Unidentified Artist",Sarah Phillips Church,https://www.harvardartmuseums.org/collections/object/228953,"unknown, unknown, unknown",European and American Art,Oil on canvas,"Grey, Grey, Blue, Brown, Brown, Green, Yellow, Brown, Orange, Grey",c. 1828-1835,19th century,American,
679,Gustave Courbet,Portrait of a Boy,https://www.harvardartmuseums.org/collections/object/228991,male,European and American Art,Oil on paper laid down on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White",c. 1840-1849,19th century,French,
680,Inna Garsoian,"View of Mt. Desert, Maine",https://www.harvardartmuseums.org/collections/object/228997,unknown,Modern and Contemporary Art,Oil on canvas,"Brown, Brown, Brown, Green, Grey, Grey, Yellow, Brown, Red",1945,20th century,American,
681,Denman Waldo Ross,Full-Length Portrait of a Seated Young Man,https://www.harvardartmuseums.org/collections/object/229003,male,European and American Art,Oil on canvasboard,"Brown, Brown, Brown, Violet, Grey, Blue, Brown",1901,20th century,American,
682,Denman Waldo Ross,Walter Nelson,https://www.harvardartmuseums.org/collections/object/229004,male,European and American Art,Oil on canvas,"Red, Red, Brown, Orange, Brown, Brown, Grey",1932,20th century,American,
683,William Baziotes,Bird of Paradise,https://www.harvardartmuseums.org/collections/object/229019,unknown,Modern and Contemporary Art,Oil on canvas,"Blue, Green, Blue, Blue, Blue, Blue, Blue, Blue, Green, Grey",1947,20th century,American,
684,Henri Matisse,Still Life with Apples,https://www.harvardartmuseums.org/collections/object/229044,male,Modern and Contemporary Art,Oil on panel,"Grey, Green, Grey, Green, Green, Grey, Green, Green, Yellow, Green",1916,20th century,French,
685,Pablo Ruiz Picasso,Young Girl Wearing a Large Hat,https://www.harvardartmuseums.org/collections/object/229047,male,Modern and Contemporary Art,Oil on canvas,"Blue, Brown, Brown, Yellow, Green, Red, Green, Brown, Blue, Red",1901,20th century,Spanish,Recto of a two-sided canvas (verso: 1951.55.1)
686,Georges Pierre Seurat,"Seated Figures, Study for ""A Sunday Afternoon on the Island of La Grande Jatte""",https://www.harvardartmuseums.org/collections/object/229049,male,European and American Art,Oil on panel,"Green, Green, Green, Green, Blue, Brown, Grey, Brown, Grey, Brown",1884-1885,19th century,French,
687,Albert Bierstadt,The Trout Brook,https://www.harvardartmuseums.org/collections/object/229058,male,European and American Art,Oil on academy board,"Brown, Blue, Brown, Blue, Black, Orange, Brown, Brown, Yellow, Yellow",1859,19th century,American,
688,Camille Pissarro,Mardi Gras on the Boulevards,https://www.harvardartmuseums.org/collections/object/229059,male,European and American Art,Oil on canvas,"Green, Brown, Green, Grey, Green, Grey, Green, Orange, Blue",1897,19th century,Danish,
689,Master of the Life of Saint Agnes,Saint Sebastian and Saint Christopher,https://www.harvardartmuseums.org/collections/object/229080,unknown,European and American Art,Oil and tempera on panel,"Brown, Yellow, Yellow, Grey, Orange, Blue, Brown, Blue, Red, Brown",16th century,16th century,"Italian, Lombard, Pavese",
690,Cecilia Beaux,Study for the Portrait of Andrew F. West,https://www.harvardartmuseums.org/collections/object/229107,female,European and American Art,Oil on canvas board,"Brown, Brown, Brown, Brown, Brown, Yellow, Brown, Orange",1916,20th century,American,The finished portrait is owned by Princeton University.
