,artist,title,data_source,url
4690,"Spanish, Castilla y León",Sacristy Bench,ISG,https://www.gardnermuseum.org/experience/collection/11861#object-details
4691,Yü Ta of Shih-hsi,Wild Geese,ISG,https://www.gardnermuseum.org/experience/collection/11862#object-details
4692,Italian,Molding with Carved Leaf Motif,ISG,https://www.gardnermuseum.org/experience/collection/11865#object-details
4693,Hans Holbein the Younger,Sir William Butts,ISG,https://www.gardnermuseum.org/experience/collection/11866#object-details
4694,Hans Holbein the Younger,Lady Margaret (Bacon) Butts,ISG,https://www.gardnermuseum.org/experience/collection/11867#object-details
4695,English,A Man and Woman in a Garden,ISG,https://www.gardnermuseum.org/experience/collection/11874#object-details
4696,"American, Philadelphia",Side Chair,ISG,https://www.gardnermuseum.org/experience/collection/11875#object-details
4697,Peter Paul Rubens,Three Men in Profile,ISG,https://www.gardnermuseum.org/experience/collection/11906#object-details
4698,Francesca Alexander,Decorating a Shrine,ISG,https://www.gardnermuseum.org/experience/collection/11918#object-details
4699,Copy Rembrandt van Rijn,The Annunciation,ISG,https://www.gardnermuseum.org/experience/collection/11927#object-details
4700,Antonis Mor and Workshop,Mary Tudor,ISG,https://www.gardnermuseum.org/experience/collection/11928#object-details
4701,Gerard ter Borch the Younger,The Music Lesson,ISG,https://www.gardnermuseum.org/experience/collection/11931#object-details
4702,Justus Suttermans,Alfonso IV d'Este,ISG,https://www.gardnermuseum.org/experience/collection/11932#object-details
4703,Italian,Escutcheon,ISG,https://www.gardnermuseum.org/experience/collection/11957#object-details
4704,"Flemish, Flanders",Proverbs,ISG,https://www.gardnermuseum.org/experience/collection/11959#object-details
4705,"Netherlandish, Southern Netherlands",Amazons Preparing for a Joust,ISG,https://www.gardnermuseum.org/experience/collection/11963#object-details
