,objectid,artist,title,url,stolen,painting
434,11231,Roman,Odysseus,https://www.gardnermuseum.org/experience/collection/11231#object-details,False,True
455,11258,Greek,A Goddess (Persephone),https://www.gardnermuseum.org/experience/collection/11258#object-details,False,True
465,11281,Joseph Lindon Smith,In Memoriam Inscription,https://www.gardnermuseum.org/experience/collection/11281#object-details,False,True
468,11286,"Catalan, Catalonia",Capital and Column,https://www.gardnermuseum.org/experience/collection/11286#object-details,False,True
469,11287,"Catalan, Catalonia",Capital and Column,https://www.gardnermuseum.org/experience/collection/11287#object-details,False,True
470,11288,"Catalan, Catalonia",Capital and Column,https://www.gardnermuseum.org/experience/collection/11288#object-details,False,True
471,11289,"Catalan, Catalonia",Capital and Column,https://www.gardnermuseum.org/experience/collection/11289#object-details,False,True
472,11290,"Catalan, Catalonia",Capital and Column,https://www.gardnermuseum.org/experience/collection/11290#object-details,False,True
473,11291,"Catalan, Catalonia",Capital and Column,https://www.gardnermuseum.org/experience/collection/11291#object-details,False,True
477,11306,"Spanish, Alpujarra",Lace Altar Frontal with Eight-Petaled Blossoms and Carnations,https://www.gardnermuseum.org/experience/collection/11306#object-details,False,True
479,11310,Arab,Column Pedestal,https://www.gardnermuseum.org/experience/collection/11310#object-details,False,True
481,11312,German,Crucifixion,https://www.gardnermuseum.org/experience/collection/11312#object-details,False,True
482,11313,German,Moses and the Brazen Serpent,https://www.gardnermuseum.org/experience/collection/11313#object-details,False,True
483,11314,German,Saint Catherine of Alexandria with a Donor,https://www.gardnermuseum.org/experience/collection/11314#object-details,False,True
484,11315,Designed by                              Albrecht Dürer,The Self-Mortification of Saint Benedict,https://www.gardnermuseum.org/experience/collection/11315#object-details,False,True
485,11316,European,Saint Peter,https://www.gardnermuseum.org/experience/collection/11316#object-details,False,True
486,11317,German,Saint Martin Dividing His Cloak,https://www.gardnermuseum.org/experience/collection/11317#object-details,False,True
487,11318,European,A Male Saint,https://www.gardnermuseum.org/experience/collection/11318#object-details,False,True
488,11319,Swiss,Roundel with Shield of Arms,https://www.gardnermuseum.org/experience/collection/11319#object-details,False,True
489,11320,Swiss,Roundel with Shield of Arms,https://www.gardnermuseum.org/experience/collection/11320#object-details,False,True
490,11321,"Spanish, Salamanca",Tomb Figure of a Knight,https://www.gardnermuseum.org/experience/collection/11321#object-details,False,True
494,11327,"Mexican, Atlixco",Tiles from the Church of San Agustin,https://www.gardnermuseum.org/experience/collection/11327#object-details,False,True
498,11334,"Italian, Southern Italy",Animal Base,https://www.gardnermuseum.org/experience/collection/11334#object-details,False,True
499,11335,Italian,Column,https://www.gardnermuseum.org/experience/collection/11335#object-details,False,True
500,11336,"Italian, Southern Italy",Animal Base,https://www.gardnermuseum.org/experience/collection/11336#object-details,False,True
501,11337,Italian,Column,https://www.gardnermuseum.org/experience/collection/11337#object-details,False,True
502,35167,"Egyptian, Cairo",Mamluk Shutters,https://www.gardnermuseum.org/experience/collection/35167#object-details,False,True
503,11340,Egyptian,Set of Three Inscription Panels,https://www.gardnermuseum.org/experience/collection/11340#object-details,False,True
506,11344,Persian,Tile with Figure of a Mounted Warrior,https://www.gardnermuseum.org/experience/collection/11344#object-details,False,True
507,11345,"Turkish, Iznik",Tile,https://www.gardnermuseum.org/experience/collection/11345#object-details,False,True
508,11346,"Iranian, Kashan",Tile from a Mihrab,https://www.gardnermuseum.org/experience/collection/11346#object-details,False,True
521,11363,Chinese,Guanyin,https://www.gardnermuseum.org/experience/collection/11363#object-details,False,True
522,11364,Japanese,Foo Dog,https://www.gardnermuseum.org/experience/collection/11364#object-details,False,True
524,11370,Chinese,Votive Stele,https://www.gardnermuseum.org/experience/collection/11370#object-details,False,True
526,11374,Roman,Head of Silenus with Liknon,https://www.gardnermuseum.org/experience/collection/11374#object-details,False,True
550,11403,Japanese,Bell,https://www.gardnermuseum.org/experience/collection/11403#object-details,False,True
552,11407,Spanish,Escutcheon of Charles V,https://www.gardnermuseum.org/experience/collection/11407#object-details,False,True
559,44312,Italian,Sarcophagus and Architectural Elements,https://www.gardnermuseum.org/experience/collection/44312#object-details,False,True
560,44312,Italian,Sarcophagus and Architectural Elements,https://www.gardnermuseum.org/experience/collection/44312#object-details,False,True
561,44312,Italian,Sarcophagus and Architectural Elements,https://www.gardnermuseum.org/experience/collection/44312#object-details,False,True
569,11431,Joinville-Vignory Workshop,Retable with Scenes of the Passion,https://www.gardnermuseum.org/experience/collection/11431#object-details,False,True
584,11448,Chinese,Landscape,https://www.gardnermuseum.org/experience/collection/11448#object-details,False,True
586,11450,German,Casket,https://www.gardnermuseum.org/experience/collection/11450#object-details,False,True
595,11459,Dutch,The Bridge,https://www.gardnermuseum.org/experience/collection/11459#object-details,False,True
